CID,SMILES
930479,CC(=NC1=CC=C(C=C1)OC)C2=C(C3=CC=CC=C3S2)O
4522146,CC(C1CC1)N(C2=CC=CC=C2)C(=O)C3=CC=CC=C3[N+](=O)[O-]
2731657,CC1=CC=C(C=C1)NC(=S)N2CCCCCC2
2096952,C1=CC=C2C=C(C=CC2=C1)SCC(=O)OCC(=O)N
5200023,C1C(OC2=CC=CC=C2O1)C3=NNC(=S)N3N
2228893,CC1=C(C=C(C=C1)[N+](=O)[O-])NC(=O)C2=CC=CC=C2SC
2019063,COC1=CC=CC=C1C2=NN3C(=O)/C(=C/C4=CC=CS4)/SC3=N2
1348626,CC1=C(C=C(C=C1)C2=NC3=CC=CC=C3O2)NC(=S)NC(=O)C4=CC=CS4
2797460,C1=CC(=C(C=C1Cl)NC(=S)NN2C=NN=C2)Cl
1257225,CC(=O)NC1=CC=C(C=C1)NC(=O)CN2C=CC(=N2)[N+](=O)[O-]
16195184,C1CCC(CC1)CNCC(=O)NC2=CC=C(C=C2)OC(F)(F)F.Cl
720233,C1=CC=C(C(=C1)CN2C(=O)C(=C(C=N2)Cl)Cl)Cl
4894287,C1CCC2=NC3=C(C=C2C1)C4=C(O3)C(=O)N(C=N4)CCCC5=CC=CC=C5
1860237,CCN1C2=CC=CC=C2C(=O)C(=C1NC(=O)C(C)C)C3=CC=CS3
4612819,C1=CSC(=C1)S(=O)(=O)NCC(=O)NCC2=CC=C(C=C2)F
1416233,C1=CC=C(C=C1)NC2=NN=C(C3=CC=CC=C32)C4=CC=C(C=C4)O
651714,CC1=CC2=C(C=C1C)NC(=O)C(=C2)C(C3=NN=NN3CC4=CC=CO4)N5CCC6=CC=CC=C65
3514433,CC1=CC(=CC=C1)N2C(=O)CC(C2=O)CN3C(=CC(=N3)C)C
15685,CCOC1=C(C=C(C=C1)NC(=O)C)[N+](=O)[O-]
662288,CCC(C)NC(=O)C1=C(N(C2=NC3=CC=CC=C3N=C12)CC4CCCO4)N
3617218,C1OC2=C(O1)C=C(C=C2)CNC(=O)C3=CC(=O)NC4=CC=CC=C43
6014624,CCC1CSC(=N1)NC2=CC=C(C=C2)C(=O)/C=C/C3=CC=C(C=C3)Br
2093485,C1=CC(=CC=C1SCCC(=O)NCC2=CC=NC=C2)Cl
6409324,C1=CC=C2C(=C1)C3=C(N2)N=C(N=N3)SCC4=CC(=CC=C4)F
2353231,C1=CC(=C(C=C1CC(=O)NC2=CC3=C(C=C2)NC(=O)N3)Cl)Cl
2548649,CC1=C(C=C(C=C1)NC(=S)N(C)CC2=CC(=CC=C2)OC)C
135472362,CC1=CC(=C(C2=C1C=CC(=N2)/C=N/O)O)C
833976,C1=CC=C(C(=C1)CNC2=CC=C(C=C2)O)OCC3=CC=CC=C3F
230488,C1=CC=C(C=C1)C(=O)N2C=CC3=CC=CC=C3C2C#N
4653419,C1=CSC(=C1)C2=C(SC(=N2)NC(=O)C3=CC=C(C=C3)C#N)C(=O)C(F)(F)F
660313,CCOC(=O)C1CCCN(C1)C2=NC3=CC=CC=C3N=C2C(C#N)C(=O)NCC4=CC=CC=C4
882224,CC1=C(C=C(C=C1)C2=C(SC(=N2)N)C3=CC=CC=C3)C
3691945,COC1=CC=CC(=C1)NC(=O)C(=O)NCCC2=CC=C(C=C2)F
9585222,CC1CCC(C(C1)OC(=O)/C(=N/O)/C)C(C)C
135401321,CC1(C(=O)N(C(=O)N1)/N=C/C2=C(C=CC3=CC=CC=C32)O)C4=CC=C(C=C4)OC(F)F
702220,CCC(=O)NC1=CC(=CC(=C1)OC)OC
2841461,C1C2CC3CC1CC(C2)(C3)N4C=NC(=N4)[N+](=O)[O-]
738764,CC1=CC2=C(C=C1)N=C(O2)C3=CC(=CC(=C3)N)N
2795565,C1=CC(=CC(=C1)Br)C2=CN=CO2
135635674,CC1=CC=CN2C1=NC(=C(C2=O)/C=N/OC(=O)C)NCC3=CC=CC=C3
2527579,CC(C)CCN1C(=O)C2=CC=CC=C2N3C1=NN=C3CN4CCCC4
3137047,CN1C(=NN=C1SCC(=O)NC2=CC=CC=C2)CC3=CC=CC=C3
16240205,CC(C)(C)N/N=C/1\CC(OC2=CC=CC=C12)C3=CC=CC=C3.Cl
2810725,CC1=C(C(=NO1)C2=C(C=CC=C2Cl)F)C(=O)NCCN3CCNC3=O
1103200,COC1=CC(=CC(=C1O)OC)C2=NC3=C(C4=C2CCC4)C5=CC=CC=C5C=C3
1092427,C1CCN(CC1)C(=O)C2=CC3=C(C=C2)C4=CC=CC=C4C3=O
